Surveys - Paused On,Survey Tag,Region,Account Type,Clicks_sum,Deliveries_sum,Opens_sum,Time since response,Account logValue,Churn
1,DTS,London,Member,0,0,0,1580,9.714127483,0
0,SSS,West Midlands,Target,0,0,0,1027,0,0
0,DTS,Yorkshire & the Humber,Target,0,0,0,509,0,0
1,DTS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,ITS,South West,Target,0,0,0,371,0,0
1,ITS,West Midlands,Target,0,0,0,1580,0,0
0,DTS,North West,Target,0,0,0,235,0,0
1,SSS,West Midlands,Target,0,0,0,1580,0,0
1,SSS,Northern Ireland,Member,0,0,0,1580,6.79660023,0
1,ITS,West Midlands,Member,0,0,0,1580,10.97942691,0
0,FSS,London,Target,0,0,0,1580,0,0
0,DTS,London,Target,0,0,0,122,0,0
0,ITS,Scotland,Target,0,0,0,566,0,0
1,ITS,Scotland,Target,0,0,0,1580,0,0
0,DTS,West Midlands,Target,0,0,0,1580,0,0
0,SSS,East Midlands,Target,4,44,22,259,0,0
1,DTS,London,Member,0,0,0,1580,10.41933057,0
0,SSS,,Target,0,0,0,264,0,0
0,ITS,South West,Target,0,0,0,1580,0,0
0,FSS,East Midlands,Target,0,0,0,1033,0,0
1,ITS,North West,Target,0,0,0,1580,0,0
0,DTS,East Midlands,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,DTS,London,Target,0,0,0,1580,0,0
0,ITS,Thames Valley,Target,0,0,0,556,0,0
0,SSS,North West,Target,0,0,0,1580,0,0
0,FSS,London,Target,0,0,0,1580,0,0
1,SSS,London,Member,0,0,0,1580,10.19189886,0
1,SSS,London,Target,0,0,0,1580,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,DTS,London,Target,0,0,0,136,0,0
0,SSS,South West,Target,0,0,0,1580,0,0
0,SSS,Wales,Target,0,0,0,56,0,0
0,FSS,South East,Target,2,54,11,882,0,0
1,ITS,London,Member,0,0,0,1580,9.664659134,0
0,ITS,East Midlands,Target,0,0,0,1580,0,0
0,SSS,South West,Target,0,0,0,66,0,0
0,DTS,South West,Member,0,0,0,704,8.200754928,0
0,SSS,London,Target,0,0,0,1054,0,0
0,ITS,North West,Target,0,0,0,1580,0,0
0,SSS,London,Member,0,207,0,224,9.234218018,0
0,ITS,West Midlands,Target,0,0,0,575,0,0
1,SSS,London,Member,0,0,0,1580,11.02273007,0
0,SSS,Scotland,Target,0,0,0,1580,0,0
1,SSS,North East,Member,0,0,0,1580,8.635763473,0
0,ITS,Thames Valley,Target,0,0,0,1580,0,0
0,FSS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
0,DTS,Scotland,Target,0,0,0,857,0,0
0,SSS,London,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,FSS,Thames Valley,Target,0,0,0,207,0,0
1,SSS,London,Target,0,0,0,1580,0,0
1,SSS,North East,Member,0,0,0,1580,9.615872145,0
0,ITS,West Midlands,Member,8,198,217,121,10.00260774,0
1,SSS,North West,Target,0,0,0,1580,0,0
0,ITS,East Midlands,Target,0,0,0,1580,0,0
0,ITS,Thames Valley,Target,10,31,67,202,0,0
0,ITS,West Midlands,Target,0,0,0,7,0,0
1,SSS,East of England,Member,0,0,0,1580,7.338290164,0
0,SSS,Scotland,Target,0,0,0,1580,0,0
0,ITS,Northern Ireland,Target,0,0,0,161,0,0
0,SSS,North East,Target,0,0,0,126,0,0
0,ITS,West Midlands,Target,0,0,0,1580,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,ITS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
1,DTS,London,Target,0,0,0,1580,0,0
0,SSS,North West,Target,0,0,0,150,0,0
1,DTS,London,Target,0,0,0,1580,0,0
0,ITS,East of England,Target,0,0,0,1580,0,0
1,ITS,Scotland,Target,0,0,0,1580,0,0
0,ITS,South West,Target,0,0,0,152,0,0
0,ITS,London,Member,0,0,0,980,9.079776002,0
1,ITS,South East,Member,0,0,0,1580,10.86502695,0
1,SSS,London,Target,0,0,0,1580,0,0
1,SSS,North West,Target,0,0,0,1580,0,0
0,ITS,London,Target,0,0,0,1580,0,0
1,ITS,Northern Ireland,Target,0,0,0,1580,0,0
1,SSS,East of England,Target,0,0,0,1580,0,0
1,ITS,East of England,Target,0,0,0,1580,0,0
0,ITS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
1,DTS,South West,Target,0,0,0,1580,0,0
0,FSS,Scotland,Target,0,0,0,1580,0,0
0,SSS,East of England,Target,0,0,0,1580,0,0
0,DTS,Wales,Target,0,0,0,42,0,0
0,FSS,Yorkshire & the Humber,Member,0,0,0,1580,10.71582988,0
0,SSS,Wales,Target,0,0,0,1580,0,0
0,SSS,East Midlands,Target,0,0,0,1232,0,0
0,FSS,Scotland,Target,0,0,0,109,0,0
1,SSS,Scotland,Member,0,0,0,1580,7.806199709,0
0,ITS,Scotland,Target,0,0,0,112,0,0
0,SSS,South East,Target,0,0,0,1580,0,0
0,DTS,,Target,0,0,0,954,0,0
0,ITS,West Midlands,Target,0,0,0,122,0,0
0,SSS,South West,Target,0,122,6,8,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,SSS,Wales,Target,1,109,16,592,0,0
1,SSS,London,Member,0,0,0,1580,11.40757606,0
0,SSS,West Midlands,Target,0,0,0,200,0,0
1,SSS,Yorkshire & the Humber,Member,0,0,0,1580,8.123273181,0
1,ITS,Wales,Target,0,0,0,1580,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,DTS,North West,Target,0,0,0,1580,0,0
0,FSS,North West,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,SSS,East Midlands,Target,0,0,0,1580,0,0
1,ITS,Thames Valley,Member,0,0,0,1580,9.471087946,0
